"x","y","color","pen down?"
"0","413","15","true"
"1","394","15","true"
"2","389","15","true"
"3","352","15","true"
"4","288","15","true"
"5","218","15","true"
"6","191","15","true"
"7","161","15","true"
"8","143","15","true"
"9","145","15","true"
"10","121","15","true"
"11","115","15","true"
"12","171","15","true"
"13","229","15","true"
"14","304","15","true"
"15","397","15","true"
"16","394","15","true"
"17","382","15","true"
"18","360","15","true"
"19","286","15","true"
"20","232","15","true"
"21","187","15","true"
"22","143","15","true"
"23","127","15","true"
"24","130","15","true"
"25","130","15","true"
"26","129","15","true"
"27","197","15","true"
"28","256","15","true"
"29","317","15","true"
"30","399","15","true"
"31","397","15","true"
"32","383","15","true"
"33","351","15","true"
"34","282","15","true"
"35","214","15","true"
"36","158","15","true"
"37","128","15","true"
"38","100","15","true"
"39","121","15","true"
"40","140","15","true"
"41","168","15","true"
"42","226","15","true"
"43","271","15","true"
"44","334","15","true"
"45","391","15","true"
"46","422","15","true"
"47","408","15","true"
"48","355","15","true"
"49","272","15","true"
"50","181","15","true"
"51","125","15","true"
"52","109","15","true"
"53","97","15","true"
"54","121","15","true"
"55","144","15","true"
"56","176","15","true"
"57","241","15","true"
"58","315","15","true"
"59","380","15","true"
"60","435","15","true"
"61","445","15","true"
"62","398","15","true"
"63","333","15","true"
"64","238","15","true"
"65","159","15","true"
"66","104","15","true"
"67","83","15","true"
"68","80","15","true"
"69","109","15","true"
"70","144","15","true"
"71","178","15","true"
"72","253","15","true"
"73","345","15","true"
"74","426","15","true"
"75","497","15","true"
"76","483","15","true"
"77","408","15","true"
"78","318","15","true"
"79","206","15","true"
"80","143","15","true"
"81","91","15","true"
"82","84","15","true"
"83","98","15","true"
"84","120","15","true"
"85","158","15","true"
"86","202","15","true"
"87","274","15","true"
"88","353","15","true"
"89","428","15","true"
"90","478","15","true"
"91","443","15","true"
"92","367","15","true"
"93","285","15","true"
"94","171","15","true"
"95","122","15","true"
"96","93","15","true"
"97","76","15","true"
"98","100","15","true"
"99","131","15","true"
"100","168","15","true"
"101","237","15","true"
"102","330","15","true"
"103","409","15","true"
"104","487","15","true"
"105","517","15","true"
"106","448","15","true"
"107","351","15","true"
"108","242","15","true"
"109","135","15","true"
"110","94","15","true"
"111","83","15","true"
"112","77","15","true"
"113","96","15","true"
"114","125","15","true"
"115","175","15","true"
"116","251","15","true"
"117","340","15","true"
"118","441","15","true"
"119","513","15","true"
"120","536","15","true"
"121","460","15","true"
"122","344","15","true"
"123","216","15","true"
"124","113","15","true"
"125","80","15","true"
"126","71","15","true"
"127","74","15","true"
"128","91","15","true"
"129","121","15","true"
"130","176","15","true"
"131","285","15","true"
"132","391","15","true"
"133","506","15","true"
"134","542","15","true"
"135","504","15","true"
"136","400","15","true"
"137","262","15","true"
"138","164","15","true"
"139","91","15","true"
"140","70","15","true"
"141","67","15","true"
"142","74","15","true"
"143","96","15","true"
"144","128","15","true"
"145","191","15","true"
"146","316","15","true"
"147","445","15","true"
"148","560","15","true"
"149","590","15","true"
"150","517","15","true"
"151","383","15","true"
"152","240","15","true"
"153","134","15","true"
"154","69","15","true"
"155","48","15","true"
"156","44","15","true"
"157","67","15","true"
"158","105","15","true"
"159","156","15","true"
"160","232","15","true"
"161","345","15","true"
"162","459","15","true"
"163","540","15","true"
"164","588","15","true"
"165","507","15","true"
"166","359","15","true"
"167","222","15","true"
"168","95","15","true"
"169","39","15","true"
"170","40","15","true"
